,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit,average holding period
MXIM,12,42.16,14.71,-2.26,0.3333333333333333,3.3933638299531967,79.1
MKC,11,10.1,5.81,-3.0,0.45454545454545453,1.0050210319743877,100.4
MCD,3,89.92,48.71,-6.0,0.6666666666666666,30.475031777083,612.3333333333334
MCK,12,-10.47,6.9,-4.55,0.3333333333333333,-0.7368130370284449,53.54545454545455
MDT,10,1.89,7.09,-2.57,0.3,0.3266993015264239,102.6
MRK,7,3.44,15.77,-4.85,0.2857142857142857,1.0395454684494045,110.4
MET,7,20.93,11.15,-3.0,0.42857142857142855,3.064648865576117,168.0
MTD,11,72.7,18.13,-4.09,0.45454545454545453,6.010519002356649,81.875
MGM,14,-10.91,5.75,-4.24,0.35714285714285715,-0.6733000225089545,49.8
MCHP,10,65.63,23.03,-4.19,0.4,6.699311794772177,125.33333333333333
MU,14,149.7,55.89,-5.3,0.2857142857142857,12.182305735304883,76.6
MSFT,5,220.97,49.76,-6.0,0.8,38.609448072956674,57.5
MAA,11,14.32,5.5,-3.6,0.5454545454545454,1.3626619708895642,104.45454545454545
MHK,8,11.77,13.27,-4.84,0.375,1.9508381499100773,113.5
TAP,6,18.75,16.5,-3.0,0.3333333333333333,3.4998267540983146,73.66666666666667
MDLZ,11,-16.3,10.29,-4.03,0.18181818181818182,-1.4233550818110614,107.0
MNST,13,-17.89,8.49,-4.28,0.23076923076923078,-1.3293127193564651,52.77777777777778
MCO,7,59.6,22.51,-3.0,0.42857142857142855,7.9318751218904655,148.66666666666666
MS,7,119.16,35.33,-1.5,0.42857142857142855,14.283533533061595,166.0
MSI,8,78.7,15.84,-2.0,0.625,9.149926316923615,187.75
MSCI,11,153.54,35.89,-2.57,0.36363636363636365,11.413463018100469,134.9090909090909
MYL,0,0.0,0.0,0.0,0.0,0.0,134.9090909090909
NDAQ,14,14.72,4.93,-4.0,0.5714285714285714,1.1015839166937602,84.28571428571429
NOV,15,-40.05,5.0,-3.87,0.06666666666666667,-3.274128265113655,21.153846153846153
NTAP,7,220.23,70.98,-4.5,0.42857142857142855,27.848096929501857,149.57142857142858
NFLX,11,198.41,50.28,-5.33,0.45454545454545453,19.945109516634197,229.66666666666666
NWL,11,17.58,15.13,-3.0,0.2727272727272727,1.943937692556685,56.45454545454545
NEM,17,8.52,24.39,-5.08,0.23529411764705882,1.855507614024849,41.8125
NWSA,10,11.5,9.6,-4.0,0.4,1.440400256020931,73.66666666666667
NWS,10,7.28,8.42,-4.0,0.4,0.9698679760500619,72.5
NEE,4,155.4,49.89,-6.0,0.75,35.91761796694089,73.66666666666667
NLSN,7,12.63,21.19,-4.8,0.2857142857142857,2.6268155447273087,58.714285714285715
NKE,14,20.83,10.86,-3.33,0.35714285714285715,1.7349794240392336,73.14285714285714
NI,3,36.07,44.75,-3.0,0.3333333333333333,12.917788867819787,565.0
NBL,0,0.0,0.0,0.0,0.0,0.0,565.0
